No	EC
0	None
489	1.6.1.2
490	K00436 or K18005 or K18006 or K18007
488	1.18.1.2 or K00528
205	K07300
486	K06020
485	3.6.3.25
132	4.2.1.22
472	K03821
71	5.3.1.9
72	2.7.1.2
122	2.7.4.6 or 3.6.1.5 or 3.6.1.15 or 3.6.1.3
116	K02108 or K02109 or K02110 or K02111 or K02112 or K02115 or K02113 or K02114 or K01535
339	K07657
1	K00138
2	2.7.2.1
3	6.2.1.1
4	2.3.1.8
12	(1.1.1.94 or 1.1.5.3) and 2.3.1.15 and  2.3.1.51
5	1.1.1.1
6	4.1.1.9 or 6.4.1.2 or 6.3.4.14
8	2.3.1.39
9	2.3.1.180
11	1.1.1.100 or 2.3.1.179 or 6.4.1.2 or 1.3.1.9 or 1.3.1.10 or 2.3.1.180 or 2.3.1.39 or 6.2.1.3 or 1.3.8.6
10	(2.3.1.41 or 2.3.1.179) and 1.1.1.100 and 4.2.1.59 and 1.3.1.10 and 3.1.1.85 and 2.3.1.47 and 2.6.1.62 and 6.3.3.3 and 2.8.1.6
20	K03821 and 1.1.1.36
21	2.3.1.9
22	1.2.7.1 or 1.2.7.11
23	2.7.1.40 or 2.7.9.1
28	4.1.1.31
24	1.1.1.40
26	1.1.1.37
42	2.3.3.9
25	4.1.1.3
39	2.3.3.1
30	4.2.1.2
40	4.1.3.1
31	1.3.5.4 or 1.3.5.1
32	6.2.1.5
469	1.4.1.13 or 1.4.1.14
33	1.2.7.3 or 1.2.7.11
35	1.1.1.42
36	1.1.1.42
37	4.2.1.3
38	4.2.1.3
41	1.1.3.15
468	3.1.3.18
46	4.2.1.11
443	1.11.1.6
45	1.11.1.6
47	5.4.2.11 or 5.4.2.12
58	4.1.1.39
48	2.7.2.3
49	1.2.1.12
62	2.2.1.1
63	2.2.1.1
50	4.1.2.13
68	2.7.1.11 or 2.7.1.90
51	3.1.3.11
52	2.2.1.1
64	2.2.1.1
67	2.2.1.1
53	4.1.2.13
54	3.1.3.37
55	2.2.1.1
61	2.2.1.1
89	2.2.1.1
56	5.3.1.6
57	2.7.1.19
65	2.2.1.1
66	2.2.1.1
70	2.7.1.4
82	5.3.1.9
88	K03615 or K03614 or K03612 or K03613 or K03616 or K03617
73	5.4.2.2
74	2.7.7.27
75	2.4.1.21
76	2.4.1.18
77	2.4.1.1
80	5.4.2.2
95	1.4.1.13 or 1.4.1.14
96	6.3.1.2
194	1.7.1.15 or 1.7.2.2
198	1.18.6.1
113	1.9.3.1
492	1.6.99.3 or 1.6.5.3 or 1.6.5.11
103	1.10.2.2
118	3.6.1.1
119	2.7.4.1
120	3.6.1.11 or 3.6.1.40 or 2.7.4.1 or 3.6.1.1
121	2.7.4.3 or 3.6.1.1
126	2.7.4.1
130	4.3.1.17 or 4.3.1.19
131	3.1.3.3 or 2.7.1.39
136	2.1.2.1 or 2.6.1.45
133	4.4.1.8 or 4.4.1.1 or 4.4.1.28
141	4.1.2.5 or 4.1.2.48
495	3.1.3.3 or 2.7.1.39 or 4.3.1.19
142	3.1.3.3 or 2.7.1.39 or 4.2.3.1
144	2.7.2.4 and 1.1.1.3 and 1.2.1.11
496	4.3.1.1 or 1.4.3.16
145	4.1.1.11 or 4.1.1.15 or 4.1.1.12
146	1.4.3.16 and 2.5.1.72 and 2.4.2.19
153	3.5.1.42
147	6.3.2.1
148	4.1.1.36 or 6.3.2.5 and 2.7.1.33 and 2.7.7.3 and 2.7.1.24
150	2.7.7.18 or 2.7.7.1 or 3.6.1.9 or 3.6.1.22
151	6.3.5.1 or 6.3.1.5
475	1.6.1.2 or 1.6.1.1 or 2.7.1.23
156	1.8.99.5 or 1.8.1.2 or 1.8.7.1
157	2.8.1.1 or 2.8.1.2
162	1.8.4.8 or 1.8.4.10
158	K08738
160	2.7.7.4 or 2.7.7.5 or 3.6.2.1
161	2.7.1.25 or 3.1.3.7
163	5.4.99.2
164	5.1.99.1
498	4.1.1.41 or 2.1.3.1
166	2.7.2.1
169	6.2.1.1 or 6.2.1.17
167	2.3.1.8
491	2.8.3.1
170	K12340 or K18139 or K18147
171	K18138 or K18095 or K18146
172	K03585 or K18094 or K18145
173	K08218
174	K05366
175	K05515
176	K03587
177	K01207
180	K03585
181	K18138
182	K18139
183	K03325
411	No
