KO	AN	AE
K00003	4	4
K00012	4	4
K00013	4	4
K00014	4	4
K00018	4	4
K00020	3	3
K00023	4	4
K00024	4	4
K00029	4	4
K00031	4	4
K00033	3	3
K00042	4	4
K00052	4	4
K00053	4	4
K00057	4	4
K00058	4	4
K00059	4	4
K00066	4	4
K00067	4	4
K00074	0	0
K00075	4	4
K00088	4	4
K00097	4	4
K00099	4	4
K00102	3	3
K00104	4	4
K00111	3	3
K00121	4	4
K00133	4	4
K00134	4	4
K00135	4	4
K00138	2	2
K00145	4	4
K00147	4	4
K00154	4	4
K00163	4	4
K00164	4	4
K00169	4	4
K00170	4	4
K00172	4	4
K00174	4	4
K00175	4	4
K00179	2	2
K00180	2	2
K00208	4	4
K00215	4	4
K00219	4	4
K00228	4	4
K00239	4	4
K00240	4	4
K00241	4	4
K00242	4	4
K00244	4	4
K00245	4	4
K00246	4	4
K00247	4	4
K00249	4	4
K00252	4	4
K00253	4	4
K00254	4	4
K00259	4	4
K00263	1	1
K00265	4	4
K00266	4	4
K00275	4	4
K00278	4	4
K00281	4	4
K00285	4	4
K00286	4	4
K00287	4	4
K00297	4	4
K00311	4	4
K00324	4	4
K00325	4	4
K00329	4	4
K00330	4	4
K00331	4	4
K00332	4	4
K00333	4	4
K00334	4	4
K00335	4	4
K00336	4	4
K00337	4	4
K00338	4	4
K00339	4	4
K00340	4	4
K00341	4	4
K00342	4	4
K00343	4	4
K00344	4	4
K00346	3	3
K00347	3	3
K00348	3	3
K00349	3	3
K00350	3	3
K00351	3	3
K00362	4	4
K00363	4	4
K00370	2	2
K00371	2	2
K00372	4	4
K00376	3	3
K00381	4	4
K00382	4	4
K00384	4	4
K00390	4	4
K00404	4	4
K00405	4	4
K00406	4	4
K00411	4	4
K00412	4	4
K00413	4	4
K00428	4	4
K00432	4	4
K00436	4	4
K00449	0	0
K00459	3	3
K00507	4	4
K00523	4	4
K00525	4	4
K00528	4	4
K00537	4	4
K00548	4	4
K00554	4	4
K00560	4	4
K00566	4	4
K00567	4	4
K00568	4	4
K00573	4	4
K00574	4	4
K00575	4	4
K00595	4	4
K00598	4	4
K00600	4	4
K00602	4	4
K00604	4	4
K00605	4	4
K00606	4	4
K00609	4	4
K00612	4	4
K00615	4	4
K00619	3	3
K00620	4	4
K00625	4	4
K00626	4	4
K00627	4	4
K00631	4	4
K00632	4	4
K00633	0	0
K00640	4	4
K00641	4	4
K00645	4	4
K00647	2	2
K00648	4	4
K00652	4	4
K00655	4	4
K00658	4	4
K00666	4	4
K00674	4	4
K00677	4	4
K00681	4	4
K00684	4	4
K00685	4	4
K00688	4	4
K00700	4	4
K00703	4	4
K00705	4	4
K00748	4	4
K00760	4	4
K00762	4	4
K00764	4	4
K00765	4	4
K00766	4	4
K00767	4	4
K00768	4	4
K00772	4	4
K00773	4	4
K00782	4	4
K00783	4	4
K00788	4	4
K00789	4	4
K00790	4	4
K00791	4	4
K00793	4	4
K00794	4	4
K00795	4	4
K00796	4	4
K00797	2	2
K00798	4	4
K00799	4	4
K00800	4	4
K00805	4	4
K00806	4	4
K00817	4	4
K00818	4	4
K00820	4	4
K00826	4	4
K00831	4	4
K00832	4	4
K00833	4	4
K00845	4	4
K00847	4	4
K00850	3	3
K00855	4	4
K00856	4	4
K00858	4	4
K00859	4	4
K00864	4	4
K00873	4	4
K00882	2	2
K00891	4	4
K00895	4	4
K00901	4	4
K00906	4	4
K00912	4	4
K00919	4	4
K00925	4	4
K00927	4	4
K00928	4	4
K00930	4	4
K00931	4	4
K00937	4	4
K00939	4	4
K00940	4	4
K00941	4	4
K00942	4	4
K00943	4	4
K00946	4	4
K00948	4	4
K00950	4	4
K00951	4	4
K00954	4	4
K00956	4	4
K00957	4	4
K00962	4	4
K00963	4	4
K00969	4	4
K00970	4	4
K00973	4	4
K00974	4	4
K00975	4	4
K00978	4	4
K00979	4	4
K00981	4	4
K00982	4	4
K00986	0	0
K00989	4	4
K00990	4	4
K00991	4	4
K00992	4	4
K00995	4	4
K00997	4	4
K00998	4	4
K01000	4	4
K01006	4	4
K01008	4	4
K01011	4	4
K01012	4	4
K01026	4	4
K01056	4	4
K01060	0	0
K01061	2	2
K01069	4	4
K01070	4	4
K01081	0	0
K01086	4	4
K01091	4	4
K01092	4	4
K01095	4	4
K01104	4	4
K01113	2	2
K01126	4	4
K01129	4	4
K01130	4	4
K01142	4	4
K01147	4	4
K01153	4	4
K01154	2	2
K01156	2	2
K01159	4	4
K01185	0	0
K01207	4	4
K01214	4	4
K01236	3	3
K01247	4	4
K01251	4	4
K01255	4	4
K01256	4	4
K01262	4	4
K01265	4	4
K01338	4	4
K01356	4	4
K01358	4	4
K01406	2	2
K01409	4	4
K01414	4	4
K01419	4	4
K01420	4	4
K01428	4	4
K01429	4	4
K01430	4	4
K01433	4	4
K01439	4	4
K01448	4	4
K01451	4	4
K01462	4	4
K01465	4	4
K01476	3	3
K01491	4	4
K01494	4	4
K01495	4	4
K01496	4	4
K01501	4	4
K01507	4	4
K01515	4	4
K01520	4	4
K01523	4	4
K01524	4	4
K01525	4	4
K01533	4	4
K01534	3	3
K01535	0	0
K01537	2	2
K01546	2	2
K01547	2	2
K01548	2	2
K01560	2	2
K01572	4	4
K01578	4	4
K01579	4	4
K01584	4	4
K01586	4	4
K01588	4	4
K01589	4	4
K01591	4	4
K01595	4	4
K01596	4	4
K01599	4	4
K01601	4	4
K01609	4	4
K01611	4	4
K01613	4	4
K01620	4	4
K01624	4	4
K01626	4	4
K01627	4	4
K01628	4	4
K01633	4	4
K01637	4	4
K01638	4	4
K01640	4	4
K01644	4	4
K01647	4	4
K01649	4	4
K01652	4	4
K01653	4	4
K01657	4	4
K01658	4	4
K01659	4	4
K01661	3	3
K01662	4	4
K01669	4	4
K01673	4	4
K01674	4	4
K01676	4	4
K01679	4	4
K01681	4	4
K01682	4	4
K01687	4	4
K01689	4	4
K01692	4	4
K01693	4	4
K01695	4	4
K01696	4	4
K01698	4	4
K01703	4	4
K01704	4	4
K01710	4	4
K01711	4	4
K01714	4	4
K01719	4	4
K01720	4	4
K01724	4	4
K01733	4	4
K01735	4	4
K01736	4	4
K01737	4	4
K01738	4	4
K01740	4	4
K01744	3	3
K01749	4	4
K01750	4	4
K01752	2	2
K01754	4	4
K01755	4	4
K01756	4	4
K01759	4	4
K01761	4	4
K01770	4	4
K01772	4	4
K01775	4	4
K01776	4	4
K01778	4	4
K01779	3	3
K01782	4	4
K01783	4	4
K01784	4	4
K01790	4	4
K01791	4	4
K01801	0	0
K01803	4	4
K01807	4	4
K01810	4	4
K01814	4	4
K01816	4	4
K01817	4	4
K01835	4	4
K01845	4	4
K01847	4	4
K01866	4	4
K01867	4	4
K01868	4	4
K01869	4	4
K01870	4	4
K01872	4	4
K01873	4	4
K01874	4	4
K01875	4	4
K01876	4	4
K01878	4	4
K01879	4	4
K01881	4	4
K01883	4	4
K01885	4	4
K01886	4	4
K01887	4	4
K01889	4	4
K01890	4	4
K01892	4	4
K01894	4	4
K01895	4	4
K01897	4	4
K01902	4	4
K01903	4	4
K01907	4	4
K01908	4	4
K01911	3	3
K01912	4	4
K01915	4	4
K01918	4	4
K01919	4	4
K01920	4	4
K01921	4	4
K01923	4	4
K01924	4	4
K01925	4	4
K01928	4	4
K01929	4	4
K01933	4	4
K01935	4	4
K01937	4	4
K01939	4	4
K01940	4	4
K01945	4	4
K01950	4	4
K01951	4	4
K01952	4	4
K01953	4	4
K01955	4	4
K01956	4	4
K01961	4	4
K01962	4	4
K01963	4	4
K01965	4	4
K01966	4	4
K01968	4	4
K01969	4	4
K01972	4	4
K01974	2	2
K01989	0	0
K01990	4	4
K01991	4	4
K01992	4	4
K01993	3	3
K01995	4	4
K01996	4	4
K01997	4	4
K01998	4	4
K01999	4	4
K02003	4	4
K02004	4	4
K02005	4	4
K02006	4	4
K02007	4	4
K02008	4	4
K02009	2	2
K02010	4	4
K02011	4	4
K02012	4	4
K02013	4	4
K02014	4	4
K02015	4	4
K02016	4	4
K02017	4	4
K02018	4	4
K02020	4	4
K02022	2	2
K02028	4	4
K02029	4	4
K02030	4	4
K02031	4	4
K02033	4	4
K02034	4	4
K02036	4	4
K02037	4	4
K02038	4	4
K02039	4	4
K02040	4	4
K02041	2	2
K02042	2	2
K02044	2	2
K02045	4	4
K02046	2	2
K02047	2	2
K02048	2	2
K02049	4	4
K02050	4	4
K02065	4	4
K02066	4	4
K02067	4	4
K02069	4	4
K02074	4	4
K02075	4	4
K02077	4	4
K02108	4	4
K02109	4	4
K02111	4	4
K02112	4	4
K02113	4	4
K02114	4	4
K02115	4	4
K02116	4	4
K02160	4	4
K02169	4	4
K02170	4	4
K02188	4	4
K02189	4	4
K02193	4	4
K02194	4	4
K02195	4	4
K02197	4	4
K02198	4	4
K02199	4	4
K02200	4	4
K02203	4	4
K02204	4	4
K02221	4	4
K02224	4	4
K02225	4	4
K02226	4	4
K02227	4	4
K02231	4	4
K02232	4	4
K02233	4	4
K02238	4	4
K02258	0	0
K02259	4	4
K02274	4	4
K02275	4	4
K02276	4	4
K02291	4	4
K02301	4	4
K02303	4	4
K02313	4	4
K02314	4	4
K02316	4	4
K02334	4	4
K02335	4	4
K02337	4	4
K02338	4	4
K02339	4	4
K02340	4	4
K02341	4	4
K02342	4	4
K02343	4	4
K02346	3	3
K02355	4	4
K02356	3	3
