No	Color
214	4
213	9
210	9
211	9
133	4
132	0
131	9
130	9
498	4
136	9
158	9
494	7
495	9
496	9
497	4
490	9
491	9
492	9
493	9
24	9
25	9
26	9
224	9
20	9
21	9
22	9
23	9
160	9
28	9
0	None
346	9
4	9
343	4
8	9
163	9
285	9
284	4
453	None
454	None
455	None
120	9
121	9
122	9
267	9
266	4
126	9
264	9
269	0.0
423	9
58	9
55	9
54	9
57	9
56	9
51	9
50	9
53	9
52	9
378	9
411	No
478	9
370	4
373	9
375	9
293	9
290	9
291	9
456	None
318	9
199	4
198	7
194	9
197	9
196	9
191	9
316	9
270	9
177	9
88	9
116	9
397	0
113	9
253	9
82	9
181	9
80	9
398	9
119	9
87	9
85	9
207	4
256	9
206	9
429	9
3	9
71	9
369	0.0
366	9
364	9
365	9
362	9
424	9
449	None
448	None
443	7
301	9
447	None
446	None
306	9
380	4
244	0
246	9
243	9
387	9
103	9
249	9
248	0.0
39	9
38	9
33	9
32	9
31	9
30	9
37	9
36	9
35	9
383	9
377	9
393	9
435	0.0
433	9
458	9
459	9
339	9
338	9
No	0
450	None
451	None
452	None
336	9
331	4
330	7
333	4
457	None
61	9
62	9
63	9
64	9
65	9
66	9
67	9
68	9
176	9
175	9
174	9
173	0.0
172	9
171	9
255	9
182	9
183	9
180	9
2	9
184	9
185	4
47	9
250	9
189	9
311	9
341	9
469	9
468	9
465	9
464	9
6	9
461	None
460	None
168	9
169	9
229	9
164	0
226	4
166	9
167	9
95	9
161	0
162	9
96	9
11	9
10	9
13	9
12	9
14	9
17	9
348	9
390	9
274	9
151	9
150	9
153	9
395	9
157	9
156	9
400	9
282	9
234	9
235	9
276	9
357	4
48	9
49	9
46	9
86	9
45	7
42	9
40	9
118	9
1	4
323	4
320	9
5	9
327	9
488	9
9	9
146	9
147	9
144	9
145	9
205	4
204	9
221	9
141	9
209	9
148	9
77	9
76	9
75	9
74	9
73	9
72	9
489	9
70	9
486	9
485	9
483	9
482	9
481	9
480	9
142	9
170	9
472	9
41	9
89	9
354	9
476	9
351	9
475	9
337	9
359	4
