No	Color
216	9
217	9
214	4
215	4
212	4
213	4
210	9
211	4
133	9
227	9
131	9
130	9
90	9
139	9
26	9
27	9
160	9
28	9
161	9
347	0
340	9
341	9
343	9
283	9
96	9
348	9
284	4
453	9
455	0.0
120	4
261	4
260	9
267	9
266	9
126	4
264	9
457	0.0
422	9
59	9
425	9
51	9
50	9
52	9
378	9
416	9
417	9
298	0.0
297	0.0
426	9
375	9
293	9
377	9
376	9
456	0.0
303	9
393	9
252	0.0
391	9
89	9
111	0.0
110	4
395	9
112	4
399	9
398	0
140	9
141	9
226	9
429	9
428	9
46	9
442	9
421	9
364	4
365	7
362	4
363	4
427	9
361	4
449	4
448	9
300	9
301	9
441	9
440	9
447	9
445	9
444	9
381	4
108	9
383	9
241	9
240	9
243	9
242	9
102	9
103	9
100	9
101	9
106	9
33	9
37	0
35	9
374	9
438	9
439	9
384	9
434	9
339	9
338	4
No	0
450	9
334	9
452	9
336	4
331	9
330	9
333	9
332	9
60	4
61	9
258	9
259	9
64	9
65	9
66	9
67	9
68	9
250	4
251	4
256	9
257	9
255	9
387	9
249	9
186	4
187	9
403	4
189	9
97	9
99	9
98	9
229	9
228	9
164	9
165	9
225	9
95	9
94	9
162	9
163	4
15	9
17	9
16	9
19	9
18	9
349	9
354	9
388	9
396	9
151	9
150	4
153	9
157	9
156	9
159	9
158	9
62	9
277	9
239	9
234	9
232	9
233	9
48	9
49	9
63	9
42	4
322	9
320	9
321	9
326	9
327	9
328	9
146	9
145	9
207	9
206	4
209	4
208	0.0
394	9
149	4
77	9
76	9
75	4
74	9
73	9
72	9
71	9
70	4
79	9
78	0
263	9
451	9
357	9
356	9
123	4
353	9
352	9
351	9
350	9
392	9
337	4
285	4
