No	Color
0	None
446	None
447	None
448	None
449	None
450	None
451	None
452	None
453	None
454	None
455	None
456	None
457	None
460	None
461	None
411	No
248	0
182	0
171	0
181	0
480	0
429	0
400	0
398	0
481	0
209	0
170	0
424	0
274	0
276	0
224	0
330	0
333	0
256	0
370	0
369	0
264	0
266	0
235	0
435	0
270	0
269	0
158	0
173	0
284	0
364	0
197	0
362	0
359	0
354	0
348	0
339	0
357	0
351	0
346	0
341	0
343	0
336	0
337	0
205	0
226	0
213	0
249	0
214	0
397	0
395	0
291	0
206	0
210	0
244	0
267	0
486	0
243	0
185	0
478	0
175	0
174	0
459	0
366	0
87	0
20	0
472	0
458	0
211	0
88	0
176	0
172	0
180	0
204	0
250	0
255	0
253	0
378	0
380	0
383	0
377	0
183	0
423	0
184	0
301	0
433	0
316	0
331	0
290	0
373	0
375	0
390	0
393	0
199	0
464	0
465	0
246	0
116	0
285	0
17	0
327	0
311	0
323	0
338	0
318	0
320	0
293	0
234	0
229	0
306	0
282	0
497	0
207	0
221	0
177	0
365	0
387	0
490	0
1	0
168	0
151	0
147	0
96	0
196	0
32	0
169	0
3	0
163	0
73	0
80	0
47	0
71	0
82	0
56	0
164	0
133	0
130	0
496	0
37	0
38	0
132	0
30	0
46	0
40	0
141	0
50	0
53	0
6	0
498	0
58	0
148	0
28	0
25	0
145	0
485	0
120	0
118	0
483	0
153	0
54	0
495	0
142	0
131	0
468	0
51	0
491	0
157	0
14	0
13	0
160	0
74	0
150	0
122	0
121	0
119	0
126	0
144	0
48	0
2	0
166	0
23	0
70	0
161	0
72	0
57	0
68	0
85	0
86	0
75	0
76	0
77	0
42	0
39	0
21	0
4	0
167	0
8	0
9	0
62	0
63	0
52	0
64	0
67	0
55	0
61	0
89	0
65	0
66	0
136	0
113	0
156	0
162	0
189	0
493	0
494	0
191	0
194	0
492	0
475	0
489	0
482	0
146	0
476	0
469	0
95	0
31	0
33	0
22	0
49	0
198	0
488	0
443	0
45	0
103	0
41	0
35	0
36	0
24	0
26	0
11	0
5	0
10	0
12	0
500	0
499	0
