No	EC
1	
2	
3	
4	
5	
6	
7	
8	
9	
10	
11	
12	
13	
14	
15	K03325
16	K03585
17	K18138
18	K18139
19	K14393
20	
21	
22	
23	
24	
25	
26	K02012
27	K02011
28	K02010
29	
30	
31	
32	
33	K03320
34	
35	K10025
36	
37	K06188
38	
39	
40	
41	
42	K05782
43	
44	
45	
46	K16092
47	
48	1.6.99.3 or 1.6.5.3 or 1.6.5.11
49	1.3.5.4 or 1.3.5.1
50	1.10.2.2
51	1.9.3.1
52	K02108 or K02109 or K02110 or K02111 or K02112 or K02115 or K02113 or K02114
53	
54	
55	
56	
57	
58	
59	K02007
60	K02009
61	K02006
62	K02008
63	K02193
64	K02194
65	K02195
66	K00404 or K15862
67	K00405 or K15862
68	K00406
69	
70	K07300
71	K03407
72	K03412 or K13924
73	K00575 or K13924
74	K03415
75	K03408
76	K03414
77	K06596 or K02487
78	K06597
79	K07240
80	
81	
82	
83	
84	
85	
86	
87	
88	
89	K01533
90	K03284
91	
92	
93	
94	K07787
95	K07798
96	K07665
97	K07644
98	K06202
99	K06202
100	3.6.3.25
101	3.6.3.25
102	3.6.3.25
103	3.6.3.25
104	
105	
106	K16264
107	
108	K03319
109	
110	K11103
111	K10125
112	K10126
113	
114	
115	
116	
117	
118	
119	
120	K07243
121	
122	
123	K03297
124	
125	
126	K07638
127	
128	
129	
130	K03561
131	K03559
132	
133	K06076
134	
135	
136	
137	
138	
139	K02015
140	3.6.3.34
141	K02016
142	
143	
144	
145	K02406
146	K02405
147	
148	
149	K07243
150	K07243
151	K03587
152	
153	K03711
154	
155	
156	K01915
157	K04751
158	K00990
159	K07712
160	K07708 or K07712
161	K07708
162	K10001
163	K10003
164	K10002
165	K10004
166	
167	
168	
169	
170	
171	
172	
173	
174	
175	
176	
177	
178	
179	
180	
181	
182	
183	
184	
185	
186	K10016
187	K07239
188	
189	3.6.1.1
190	
191	
192	
193	
194	
195	
196	
197	
198	
199	
200	
201	
202	
203	
204	
205	
206	K01537
207	K06020
208	K07483
209	K07486
210	K10716
211	K01546
212	K01547
213	K01548
214	K07646
215	K07667
216	K03499
217	K03549
218	
219	
220	
221	
222	
223	
224	
225	K01996
226	K01995
227	K01997
228	K01999
229	K01998
230	
231	
232	K09808
233	K09810
234	K09808
235	
236	
237	
238	
239	K09774
240	K06861
241	K11719
242	K07091
243	K11720
244	
245	
246	
247	
248	
249	K03406
250	K07799
251	K07788
252	K19058
253	
254	
255	K06213
256	K07122
257	K07323
258	K02067
259	K02066
260	K02065
261	K03297
262	
263	K02556
264	K10716
265	
266	K03980
267	K03980
268	
269	
270	
271	
272	
273	
274	
275	
276	
277	K01207
278	
279	
280	
281	
282	
283	K02584
284	K02595
285	K02597
286	
287	
288	
289	
290	
291	
292	
293	K02050
294	
295	
296	
297	K09695
298	K09694
299	
300	K02575
301	K02575 or K15576
302	
303	K07659
304	
305	
306	
307	
308	
309	
310	
311	
312	
313	
314	
315	
316	
317	
318	
319	
320	K05366
321	K05515
322	K10716
323	
324	
325	
326	1.10.2.2
327	K00412 or K00410
328	K00413 or K00410
329	
330	K05559
331	K05560
332	K05561
333	K05562
334	K05564
335	
336	K02041
337	K02044
338	K02042
339	K07657
340	K07657
341	K07636
342	
343	K02039
344	
345	
346	
347	K02650
348	K02657
349	K02658
350	K02659
351	K02660
352	K02667
353	K02668
354	K03306
355	
356	1.6.1.2
357	1.6.1.2
358	
359	
360	
361	K11072
362	K11071
363	K11070
364	K11069
365	K11074
366	
367	
368	
369	
370	
371	
372	
373	
374	K02037 or K02038 or K02040 or K02036
375	K02038
376	K02036
377	K02037
378	K02040
379	
380	
381	K03297
382	
383	K07666
384	K07645
385	
386	
387	K15012
388	K15011
389	
390	
391	K03617
392	K03616
393	K03615
394	K03614
395	K03613
396	K03612
397	
398	K07661
399	K07639
400	
401	
402	
403	K03297
404	
405	
406	
407	
408	
409	
410	
411	
412	
413	
414	
415	
416	K03321
417	K02049
418	
419	
420	
421	K03562
422	K03560
423	
424	
425	K11688 or K11690
426	K03499
427	K03498
428	K03498
429	K03498
430	
431	
432	
433	
434	K05813
435	
436	
437	
438	K11959
439	K11960
440	K11961
441	K11962
442	K11963
443	
444	K02020
445	K02018
446	
447	K03733
448	K04763
449	K07114
450	K16264
451	K02074
452	K02075
453	K02077
454	
455	K09815
456	K09816
457	K09817
458	
459	
460	
461	
462	
